X1,X2,Y
99,88,0
15,30,0
13,88,0
41,79,0
84,87,0
66,97,0
25,47,0
76,99,0
53,61,1
30,35,1
73,48,1
61,47,1
25,97,0
40,3,0
46,47,1
45,42,1
42,73,1
59,74,1
47,60,1
18,12,0
92,78,0
65,14,0
92,20,0
89,97,0
46,69,1
51,54,1
69,79,0
91,30,0
15,60,0
66,94,0
2,4,0
39,57,1
93,69,0
87,97,0
89,31,0
28,72,1
40,36,1
70,16,0
9,14,0
98,88,0
30,55,1
21,97,0
46,10,0
90,82,0
22,69,0
60,7,0
30,77,0
30,84,0
93,66,0
86,63,0
29,89,0
96,9,0
6,15,0
75,9,0
74,93,0
33,94,0
57,65,1
74,40,1
71,22,0
43,83,0
11,42,0
4,89,0
24,5,0
29,56,1
94,79,0
4,41,0
54,38,1
89,92,0
10,29,0
6,30,0
66,83,0
6,71,0
58,0,0
80,40,0
17,16,0
94,18,0
1,96,0
26,81,0
79,42,0
10,8,0
96,19,0
49,10,0
0,31,0
84,18,0
19,87,0
100,30,0
37,89,0
59,11,0
42,15,0
47,9,0
49,90,0
81,36,0
100,6,0
77,54,0
54,23,0
38,69,1
37,28,1
95,37,0
83,100,0
