X1,X2,Y
14,6,0
46,86,1
17,72,0
43,47,0
14,7,0
19,100,1
81,83,1
70,28,0
99,90,1
78,59,1
42,8,0
42,76,1
60,45,1
3,100,1
64,14,0
25,12,0
69,77,1
89,31,1
67,50,1
25,80,1
88,3,0
26,52,0
24,45,0
36,21,0
74,3,0
60,42,1
14,53,0
100,88,1
95,38,1
90,80,1
85,39,1
51,83,1
82,2,0
62,54,1
40,24,0
100,4,1
63,45,1
21,21,0
43,20,0
75,83,1
37,59,0
0,23,0
28,2,0
8,64,0
39,93,1
16,38,0
0,98,0
51,73,1
29,57,0
27,24,0
30,62,0
65,7,0
55,9,0
8,70,0
74,18,0
45,28,0
23,58,0
5,67,0
72,46,1
78,17,0
40,14,0
100,74,1
40,82,1
94,19,1
39,26,0
91,55,1
40,94,1
88,70,1
33,78,1
5,27,0
42,67,1
63,75,1
72,90,1
90,79,1
28,25,0
72,2,0
8,58,0
0,83,0
42,68,1
12,21,0
92,6,0
93,40,1
19,79,0
70,95,1
32,52,0
66,94,1
9,45,0
73,47,1
78,83,1
97,37,1
12,24,0
78,10,0
57,54,1
79,60,1
72,20,0
85,16,1
47,36,0
65,84,1
33,14,0
39,67,1
