X1,X2,Y
73,69,0
61,79,0
34,14,1
41,48,1
46,94,1
29,53,1
74,87,0
25,20,1
39,87,1
62,89,0
68,23,0
40,78,1
10,5,1
11,21,1
58,82,0
30,21,1
94,71,0
38,47,1
30,23,1
86,95,0
53,90,0
90,99,0
35,18,1
96,22,0
45,58,1
5,60,1
68,51,0
36,32,1
17,45,1
8,56,1
1,51,1
65,62,0
42,24,1
35,92,1
75,43,0
34,77,1
25,17,1
16,20,1
100,29,0
80,66,0
61,62,0
67,61,0
18,91,1
31,69,1
95,70,0
74,100,0
43,29,1
27,88,1
48,51,1
84,71,0
54,42,0
98,85,0
6,52,1
21,97,1
66,54,0
41,2,1
12,95,1
28,87,1
96,38,0
99,71,0
20,41,1
2,26,1
46,68,1
11,45,1
69,97,0
25,77,1
93,57,0
0,3,1
65,65,0
20,75,1
99,85,0
27,75,1
89,5,0
27,85,1
33,98,1
44,92,1
59,22,0
45,71,1
34,37,1
57,95,0
15,54,1
2,91,1
76,47,0
1,53,1
44,55,1
34,50,1
31,75,1
28,81,1
37,55,1
40,90,1
74,88,0
97,27,0
29,49,1
11,45,1
76,91,0
81,71,0
37,56,1
38,0,1
48,60,1
